ID,Tumorlokalisation,Seite,NStadium,Elektiveslevel,Konzept
1,Mundhöhle,ipsilateral,cN0,I-IV,definitiv
2,Mundhöhle,kontralateral,cN0,II-IV,definitiv
3,Mundhöhle,ipsilateral,cN1,I-IV,definitiv
4,Mundhöhle,kontralateral,cN1,II-IV,definitiv
5,Mundhöhle,ipsilateral,cN2,I-IV,definitiv
6,Mundhöhle,kontralateral,cN2,II-IV,definitiv
7,Mundhöhle,ipsilateral,cN2a,I-V+VII,definitiv
8,Mundhöhle,kontralateral,cN2a,I-V,definitiv
9,Mundhöhle,ipsilateral,cN2b,I-V+VII,definitiv
10,Mundhöhle,kontralateral,cN2b,I-V,definitiv
11,Mundhöhle,ipsilateral,cN2c,abhängig vom Befall,definitiv
12,Mundhöhle,kontralateral,cN2c,abhängig vom Befall,definitiv
13,Mundhöhle,ipsilateral,cN3,abhängig vom Befall,definitiv
14,Mundhöhle,kontralateral,cN3,abhängig vom Befall,definitiv
15,Mundhöhle,ipsilateral,cN3a,abhängig vom Befall,definitiv
16,Mundhöhle,kontralateral,cN3a,abhängig vom Befall,definitiv
17,Mundhöhle,ipsilateral,cN3b,abhängig vom Befall,definitiv
18,Mundhöhle,kontralateral,cN3b,abhängig vom Befall,definitiv
19,Oropharynx,ipsilateral,cN0,II-IV+ VII​,definitiv
20,Oropharynx,kontralateral,cN0,II-IV,definitiv
21,Oropharynx,ipsilateral,cN1,II-IV+ VII​,definitiv
22,Oropharynx,kontralateral,cN1,II-IV,definitiv
23,Oropharynx,ipsilateral,cN2,II-IV+ VII​,definitiv
24,Oropharynx,kontralateral,cN2,II-IV,definitiv
25,Oropharynx,ipsilateral,cN2a,II-V+VII​,definitiv
26,Oropharynx,kontralateral,cN2a,II-IV,definitiv
27,Oropharynx,ipsilateral,cN2b,II-V+VII​,definitiv
28,Oropharynx,kontralateral,cN2b,II-IV,definitiv
29,Oropharynx,ipsilateral,cN2c,abhängig vom Befall,definitiv
30,Oropharynx,kontralateral,cN2c,abhängig vom Befall,definitiv
31,Oropharynx,ipsilateral,cN3,abhängig vom Befall,definitiv
32,Oropharynx,kontralateral,cN3,abhängig vom Befall,definitiv
33,Oropharynx,ipsilateral,cN3a,abhängig vom Befall,definitiv
